Year,Month,Date,Chapter,General Fund,Savings/Strike
2025,Mar,3/18/2025,BSSU,"$72,334.57 ","$81,056.53 "
2025,Mar,3/18/2025,LA LABOR FED,"$13,146.07 ",$0.00 
2025,Mar,3/18/2025,PROTEC17,"$23,100.65 ",$0.00 
2025,Mar,3/18/2025,SEIU 121RN ,"$63,670.72 ",$0.00 
2025,Mar,3/18/2025,SEIU 925 ,"$266,519.39 ",$0.00 
2025,Mar,3/18/2025,SEIU 2015 ,"$188,698.78 ","$171,806.67 "
2025,Mar,3/18/2025,SEIU 221 ,"$21,797.29 ",$0.00 
2025,Mar,3/18/2025,UFCW 21 ,"$60,748.11 ",$0.00 
2025,Mar,3/18/2025,MEAWU,"$4,628.08 ",$0.00 
2025,Mar,3/18/2025,NVLF,"$3,873.00 ",$0.00 
2025,Mar,3/18/2025,UFCW367,"$4,310.54 ",$0.00 
2025,Mar,3/18/2025,KIWA,$0.00 ,"$1,388.00 "
2025,Feb,2/18/2025,WORKING WA,"$10,308.09 ",$201.11 
2025,Feb,2/18/2025,BSSU,"$72,334.57 ","$81,056.53 "
2025,Feb,2/18/2025,LA LABOR FED,"$13,146.07 ",$0.00 
2025,Feb,2/18/2025,PROTEC17,"$23,100.65 ",$0.00 
2025,Feb,2/18/2025,SEIU 121RN ,"$63,670.72 ",$0.00 
2025,Feb,2/18/2025,SEIU 925 ,"$266,519.39 ",$0.00 
2025,Feb,2/18/2025,SEIU 2015 ,"$188,698.78 ","$171,806.67 "
2025,Feb,2/18/2025,SEIU 221 ,"$21,797.29 ",$0.00 
2025,Feb,2/18/2025,UFCW 21 ,"$60,748.11 ",$0.00 
2025,Feb,2/18/2025,MEAWU,"$4,628.08 ",$0.00 
2025,Feb,2/18/2025,NVLF,"$3,873.00 ",$0.00 
2025,Feb,2/18/2025,UFCW367,"$4,310.54 ",$0.00 
2025,Feb,2/18/2025,KIWA,$0.00 ,"$1,388.00 "
2025,Jan,1/21/2025,WORKING WA,"$9,855.20 ",$150.76 
2025,Jan,1/21/2025,BSSU,"$70,486.04 ","$81,043.45 "
2025,Jan,1/21/2025,LA LABOR FED,"$13,146.07 ",$0.00 
2025,Jan,1/21/2025,PROTEC17,"$22,633.91 ",$0.00 
